,graph,statistic,value
468,PP_1.00_0.10,\shortstack[l]{avarage \\ internal \\degree},4.0
469,PP_1.00_0.10,\shortstack[l]{modularity \\ density},0.1600000000000001
470,PP_0.20_0.15,$|V|$,30.0
471,PP_0.20_0.15,$|E|$,84.0
472,PP_0.20_0.15,$\hat{k}$,6.0
473,PP_0.20_0.15,$\hat{o}$,0.0
474,PP_0.20_0.15,$\hat{c}$,0.18314814814814814
475,PP_0.20_0.15,\shortstack[l]{normalized \\ cut},0.9645631896831195
476,PP_0.20_0.15,\shortstack[l]{internal \\ edge \\density},0.05833333333333333
477,PP_0.20_0.15,significance,
478,PP_0.20_0.15,\shortstack[l]{avarage \\ internal \\degree},0.9333333333333332
479,PP_0.20_0.15,\shortstack[l]{modularity \\ density},-4.4799999999999995
480,PP_0.40_0.15,$|V|$,30.0
481,PP_0.40_0.15,$|E|$,93.0
482,PP_0.40_0.15,$\hat{k}$,6.0
483,PP_0.40_0.15,$\hat{o}$,0.0
484,PP_0.40_0.15,$\hat{c}$,0.22854497354497352
485,PP_0.40_0.15,\shortstack[l]{normalized \\ cut},0.8691793540990016
486,PP_0.40_0.15,\shortstack[l]{internal \\ edge \\density},0.09583333333333334
487,PP_0.40_0.15,significance,53.293940747163475
488,PP_0.40_0.15,\shortstack[l]{avarage \\ internal \\degree},1.5333333333333334
489,PP_0.40_0.15,\shortstack[l]{modularity \\ density},-3.7600000000000002
490,PP_0.60_0.15,$|V|$,30.0
491,PP_0.60_0.15,$|E|$,104.0
492,PP_0.60_0.15,$\hat{k}$,6.0
493,PP_0.60_0.15,$\hat{o}$,0.0
494,PP_0.60_0.15,$\hat{c}$,0.24923039923039927
495,PP_0.60_0.15,\shortstack[l]{normalized \\ cut},0.7791944558499039
496,PP_0.60_0.15,\shortstack[l]{internal \\ edge \\density},0.14166666666666666
497,PP_0.60_0.15,significance,97.11194143010982
498,PP_0.60_0.15,\shortstack[l]{avarage \\ internal \\degree},2.2666666666666666
499,PP_0.60_0.15,\shortstack[l]{modularity \\ density},-2.880000000000001
500,PP_0.80_0.15,$|V|$,30.0
501,PP_0.80_0.15,$|E|$,112.0
502,PP_0.80_0.15,$\hat{k}$,6.0
503,PP_0.80_0.15,$\hat{o}$,0.0
504,PP_0.80_0.15,$\hat{c}$,0.28162818662818656
505,PP_0.80_0.15,\shortstack[l]{normalized \\ cut},0.7240365626286079
506,PP_0.80_0.15,\shortstack[l]{internal \\ edge \\density},0.17500000000000002
507,PP_0.80_0.15,significance,134.88164012901152
508,PP_0.80_0.15,\shortstack[l]{avarage \\ internal \\degree},2.8000000000000003
